Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
ADMIRAL GROUP PLC ORD 0.1P,ADM.L,ADM.L,Financial Services,GBp,2390.0,0.76,0.031600002,2005-04-27,2023-05-04,14.5,2267.5
LOOKERS PLC ORD  5P,LOOK.L,LOOK.L,Consumer Cyclical,GBp,128.8,0.03,0.0233,1993-03-15,2023-08-24,3.0,127.8
COMPUTACENTER PLC ORD 7 5/9P,CCC.L,CCC.L,Technology,GBp,2084.0,0.68,0.0326,1999-04-26,2023-06-15,45.8,2266.2
JUPITER FUND MANAGEMENT PLC ORD 2P,JUP.L,JUP.L,Financial Services,GBp,94.95,0.04,0.0421,2011-04-13,2023-08-03,3.4,108.7
ROBERT WALTERS PLC ORD 20P,RWA.L,RWA.L,Industrials,GBp,357.0,0.23,0.065799996,2001-04-18,2023-04-27,17.0,391.0
ROTORK PLC ORD 0.5P,ROR.L,ROR.L,Industrials,GBp,294.0,0.07,0.0233,1993-04-19,2023-08-17,6.85,290.65
INCHCAPE PLC ORD 10P,INCH.L,INCH.L,Consumer Cyclical,GBp,731.5,0.31,0.0422,1993-04-19,2023-08-03,30.9,780.9
GAMES WORKSHOP GROUP PLC ORD 5P,GAW.L,GAW.L,Consumer Cyclical,GBp,10620.0,4.4,0.0414,1995-03-13,2023-08-03,395.0,11515.0
SHELL PLC ORD EUR0.07,SHEL.L,SHEL.L,Energy,GBp,2378.5,1.04,0.0438,2005-08-03,2023-08-10,80.2,2395.4
COCA-COLA HBC AG ORD CHF6.70 (CDI),CCH.L,CCH.L,Consumer Defensive,GBp,2273.0,0.67,0.0293,2013-06-26,2023-05-25,78.0,2422.0
PPHE HOTEL GROUP LD ORD NPV,PPH.L,PPH.L,Consumer Cyclical,GBp,1025.0,0.15,0.0146,2012-03-21,2023-04-27,12.0,1128.0
TYMAN PLC ORD 5P,TYMN.L,TYMN.L,Industrials,GBp,286.0,0.14,0.0479,1996-04-15,2023-08-03,13.7,306.3
ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,ABF.L,ABF.L,Consumer Defensive,GBp,1953.0,0.44,0.0226,1993-01-18,2023-06-01,14.2,1811.3
RELX PLC ORD 14 51/116P,REL.L,REL.L,Industrials,GBp,2528.0,0.56,0.0221,1993-03-29,2023-08-03,55.9,2593.0
BRITISH AMERICAN TOBACCO PLC ORD 25P,BATS.L,BATS.L,Consumer Defensive,GBp,2589.0,2.31,0.0892,1995-03-20,2023-07-13,115.44,2533.28
SSE PLC ORD 50P,SSE.L,SSE.L,Utilities,GBp,1616.5,0.97,0.0598,1993-02-15,2023-07-27,96.7,1739.3
HALEON PLC ORD GBP0.01,HLN.L,HLN.L,Healthcare,GBp,327.75,0.04,0.011,2023-03-16,2023-08-24,4.2,323.9
NEXT PLC ORD 10P,NXT.L,NXT.L,Consumer Cyclical,GBp,6780.0,2.06,0.0304,1993-05-24,2023-07-06,140.0,6814.0
ENERGEAN PLC ORD 1P,ENOG.L,ENOG.L,Energy,GBp,1121.0,0.95,0.0849,2022-09-15,2023-06-08,60.0,1093.0
S & U PLC ORD 12 1/2P,SUS.L,SUS.L,Financial Services,GBp,2310.0,1.9,0.08229999,1992-06-11,2023-06-15,98.0,2290.0
UNILEVER PLC ORD 3 1/9P,ULVR.L,ULVR.L,Consumer Defensive,GBp,4036.5,1.5,0.0372,1992-11-16,2023-08-03,112.94999999999999,4144.5
WEIR GROUP PLC ORD 12.5P,WEIR.L,WEIR.L,Industrials,GBp,1766.5,0.37,0.021,1993-03-29,2023-04-20,19.3,1929.7
RICARDO PLC ORD 25P,RCDO.L,RCDO.L,Industrials,GBp,516.0,0.11,0.0211,1993-03-29,2023-03-09,3.35,576.65
4IMPRINT GROUP PLC ORD 38 6/13P,FOUR.L,FOUR.L,Communication Services,GBp,4945.0,1.5,0.030299999,1993-05-10,2023-08-17,216.18,5029.2
PAYPOINT PLC ORD 1/3P,PAY.L,PAY.L,Technology,GBp,547.0,0.37,0.067600004,2005-06-22,2023-08-10,27.8,557.4
TREATT PLC ORD 2P,TET.L,TET.L,Basic Materials,GBp,554.0,0.08,0.0143,1993-03-01,2023-06-29,7.8999999999999995,605.45
BUNZL PLC ORD 32 1/7P,BNZL.L,BNZL.L,Consumer Defensive,GBp,2724.0,0.63,0.023,1993-03-29,2023-05-18,45.4,3116.6
LONDONMETRIC PROPERTY PLC ORD 10P,LMP.L,LMP.L,Real Estate,GBp,179.1,0.1,0.0538,2008-07-02,2023-06-01,4.9,177.4
NCC GROUP PLC ORD 1P,NCC.L,NCC.L,Technology,GBp,96.9,0.05,0.048,2005-02-02,2023-02-16,1.5,175.1
ASHTEAD GROUP PLC ORD 10P,AHT.L,AHT.L,Industrials,GBp,5388.0,0.79,0.0147,1988-10-24,2023-08-10,97.14,5663.0
BURBERRY GROUP PLC ORD 0.05P,BRBY.L,BRBY.L,Consumer Cyclical,GBp,2167.0,0.61,0.028099999,2003-01-22,2023-06-29,44.5,2093.5
TATE & LYLE PLC ORD 29 1/6P,TATE.L,TATE.L,Consumer Defensive,GBp,709.0,0.18,0.026099999,1992-11-30,2023-06-22,13.1,745.9
TP ICAP GROUP PLC ORD 25P,TCAP.L,TCAP.L,Financial Services,GBp,162.9,0.13,0.078,2001-05-09,2023-04-13,7.9,173.3
ESSENTRA PLC ORD 25P,ESNT.L,ESNT.L,Basic Materials,GBp,148.2,0.02,0.0149,2005-09-28,2023-05-18,30.8,193.4
CAPITAL LD COMM SHS USD0.0001 (DI),CAPD.L,CAPD.L,Basic Materials,GBp,83.4,0.03,0.037,2015-04-30,2023-04-13,2.6,94.0
INFORMA PLC ORD 0.1P,INF.L,INF.L,Communication Services,GBp,717.0,0.13,0.0176,2004-10-06,2023-08-10,12.6,745.4
BEAZLEY PLC ORD 5P,BEZ.L,BEZ.L,Financial Services,GBp,541.0,0.26,0.048800003,2004-11-03,2023-03-09,13.5,608.0
IMI PLC ORD 28 4/7P,IMI.L,IMI.L,Industrials,GBp,1478.0,0.27,0.0179,1993-03-29,2023-08-10,26.5,1553.9
BYTES TECHNOLOGY GROUP PLC ORD GBP0.01,BYIT.L,BYIT.L,Technology,GBp,479.8,0.07,0.0156,2021-11-18,2023-07-20,7.5,530.0
DWF GROUP PLC ORD 1P,DWF.L,DWF.L,Industrials,GBp,97.2,0.05,0.0499,2019-08-29,2023-02-02,1.6,80.4
GSK PLC ORD 31 1/4P,GSK.L,GSK.L,Healthcare,GBp,1374.0,0.56,0.0404,1989-11-24,2023-08-17,41.75,1356.6
RENTOKIL INITIAL PLC ORD 1P,RTO.L,RTO.L,Industrials,GBp,587.4,0.08,0.0137,1990-05-14,2023-08-03,7.9,617.25
SEGRO PLC ORD 10P,SGRO.L,SGRO.L,Real Estate,GBp,724.6,0.27,0.037100002,1993-04-19,2023-08-10,26.9,746.7
SPECTRIS PLC ORD 5P,SXS.L,SXS.L,Technology,GBp,3266.0,0.77,0.0235,1993-04-19,2023-05-18,51.3,3771.7
RECKITT BENCKISER GROUP PLC ORD 10P,RKT.L,RKT.L,Consumer Defensive,GBp,5688.0,1.87,0.032899998,2002-09-04,2023-08-03,186.89999999999998,5681.4
CONVATEC GROUP PLC ORD 10P,CTEC.L,CTEC.L,Healthcare,GBp,230.2,0.05,0.0219,2017-09-07,2023-08-17,5.037,220.22
HALMA PLC ORD 10P,HLMA.L,HLMA.L,Industrials,GBp,2078.0,0.2,0.0097,1989-08-14,2023-07-13,12.34,2187.66
LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,LSEG.L,LSEG.L,Financial Services,GBp,8182.0,1.13,0.0138,2001-12-05,2023-08-17,112.8,8120.5
SAGE GROUP PLC ORD 1 4/77P,SGE.L,SGE.L,Technology,GBp,951.6,0.19,0.0196,1993-01-15,2023-06-01,18.65,864.45
DIAGEO PLC ORD 28 101/108P,DGE.L,DGE.L,Consumer Defensive,GBp,3267.5,0.8,0.024500001,1991-10-28,2023-08-24,80.0,3221.83
RATHBONES GROUP PLC ORD 5P,RAT.L,RAT.L,Financial Services,GBp,1676.0,0.85,0.0507,1992-06-08,2023-08-03,85.0,1733.0
NATWEST GROUP PLC ORD 107.69P,NWG.L,NWG.L,Financial Services,GBp,225.8,0.15,0.0687,1989-09-04,2023-08-10,15.5,232.9
SAVILLS PLC ORD 2.5P,SVS.L,SVS.L,Real Estate,GBp,899.5,0.2,0.0226,1993-07-15,2023-04-06,15.6,940.9
PARAGON BANKING GROUP PLC ORD 100P,PAG.L,PAG.L,Financial Services,GBp,509.0,0.3,0.059299998,1995-03-08,2023-07-06,30.2,526.0
IBSTOCK PLC ORD 1P,IBST.L,IBST.L,Basic Materials,GBp,144.8,0.09,0.0615,2016-05-05,2023-08-24,8.9,146.1
INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,IHG.L,IHG.L,Consumer Cyclical,GBp,5878.0,1.14,0.0194,2004-03-24,2023-03-30,76.08,5127.92
RIGHTMOVE  PLC ORD 0.1P,RMV.L,RMV.L,Communication Services,GBp,544.8,0.09,0.0162,2008-04-09,2023-04-27,5.2,568.8
VESUVIUS PLC ORD 10P,VSVS.L,VSVS.L,Basic Materials,GBp,432.8,0.23,0.0521,1993-03-29,2023-08-03,22.55,433.2
WINCANTON PLC ORD 10P,WIN.L,WIN.L,Industrials,GBp,220.5,0.13,0.059899997,2001-06-13,2023-07-13,8.8,247.7
PREMIER FOODS PLC ORD 10P,PFD.L,PFD.L,Consumer Defensive,GBp,121.0,0.01,0.0119,2005-05-04,2023-06-29,1.44,127.76
MEARS GROUP PLC ORD 1P,MER.L,MER.L,Consumer Cyclical,GBp,276.5,0.11,0.0396,1997-04-21,2023-07-06,7.25,277.25
KENMARE RESOURCES PLC ORD EUR0.001 (CDI),KMR.L,KMR.L,Basic Materials,GBp,422.0,0.49,0.1154,2016-07-26,2023-04-13,43.33,448.67
HISCOX LD ORD 6.5P (DI),HSX.L,HSX.L,Financial Services,GBp,990.5,0.29,0.0295,2007-05-02,2023-08-17,31.89,1022.5
GENUS PLC ORD 10P,GNS.L,GNS.L,Healthcare,GBp,2298.0,0.32,0.0139,2001-08-08,2023-03-02,10.3,2987.7
MJ GLEESON PLC ORD 2P,GLE.L,GLE.L,Consumer Cyclical,GBp,360.0,0.17,0.047199998,1993-05-10,2023-03-02,5.0,453.0
HOLLYWOOD BOWL GROUP PLC ORD 1P,BOWL.L,BOWL.L,Consumer Cyclical,GBp,222.5,0.12,0.053000003,2017-02-23,2023-06-08,6.27,262.73
DIPLOMA PLC ORD 5P,DPLM.L,DPLM.L,Industrials,GBp,3118.0,0.55,0.0177,1992-11-30,2023-05-25,55.3,2863.5
CHESNARA PLC ORD 5P,CSN.L,CSN.L,Financial Services,GBp,270.0,0.3,0.11229999,2004-08-25,2023-04-06,15.16,289.84
ALFA FINANCIAL SOFTWARE HOLDINGS PL ORD 0.1P,ALFA.L,ALFA.L,Technology,GBp,146.5,0.01,0.0082,2020-10-15,2023-05-25,2.7,153.8
APTITUDE SOFTWARE GROUP PLC ORD 7 1/3P,APTD.L,APTD.L,Technology,GBp,295.0,0.05,0.0183,1993-01-18,2023-08-03,5.4,283.2
DECHRA PHARMACEUTICALS PLC ORD 1P,DPH.L,DPH.L,Healthcare,GBp,3796.0,0.45,0.012,2001-03-07,2023-03-09,12.5,2715.5
NINETY ONE PLC ORD Â£0.0001,N91.L,N91.L,Financial Services,GBp,166.9,0.13,0.0791,2020-12-10,2023-07-20,6.7,171.0
HOWDEN JOINERY GROUP PLC ORD 10P,HWDN.L,HWDN.L,Consumer Cyclical,GBp,703.0,0.21,0.0294,1993-02-01,2023-04-06,15.9,648.7
IMPERIAL BRANDS PLC ORD 10P,IMB.L,IMB.L,Consumer Defensive,GBp,1771.5,1.42,0.0801,1997-06-02,2023-08-17,92.5,1755.41
ABRDN PLC ORD 13 61/63P,ABDN.L,ABDN.L,Financial Services,GBp,161.1,0.15,0.09060001,2007-03-28,2023-08-17,14.6,166.65
BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.4141P,BKG.L,BKG.L,Consumer Cyclical,GBp,3909.0,1.29,0.032899998,1993-01-04,2023-08-17,128.74,4128.7
SERCO GROUP PLC ORD 2P,SRP.L,SRP.L,Industrials,GBp,148.4,0.03,0.020599999,1993-03-15,2023-05-11,1.92,149.18
JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,JFJ.L,JFJ.L,Financial Services,GBp,464.5,0.06,0.013300001,1972-09-04,2022-12-22,6.2,456.3
RIO TINTO PLC ORD 10P,RIO.L,RIO.L,Basic Materials,GBp,4745.5,3.23,0.0681,1993-03-15,2023-08-10,323.02,4817.33
WPP PLC ORD 10P,WPP.L,WPP.L,Communication Services,GBp,747.6,0.39,0.052699998,2003-10-15,2023-06-08,24.4,862.2
RS GROUP PLC ORD 10P,RS1.L,RS1.L,Industrials,GBp,721.4,0.21,0.029000001,1992-11-16,2023-06-15,13.7,780.7
MARSHALLS PLC ORD 25P,MSLH.L,MSLH.L,Basic Materials,GBp,261.6,0.12,0.0478,1989-09-04,2023-06-01,9.9,293.1
IP GROUP PLC ORD 2P,IPO.L,IPO.L,Financial Services,GBp,58.2,0.01,0.0218,2006-04-26,2023-08-10,1.27,59.69
DOMINO'S PIZZA GROUP PLC ORD  25/48P,DOM.L,DOM.L,Consumer Cyclical,GBp,386.4,0.1,0.026099999,2000-04-03,2023-08-10,10.1,421.3
CRODA INTERNATIONAL PLC ORD 10.609756P,CRDA.L,CRDA.L,Basic Materials,GBp,5382.0,1.08,0.0201,1993-04-19,2023-04-27,61.0,6863.0
SOFTCAT PLC ORD Â£0.0005,SCT.L,SCT.L,Technology,GBp,1412.0,0.25,0.0174,2016-03-31,2021-11-11,26.9,1922.5
UP GLOBAL SOURCING HOLDINGS PLC ORDS 0.25P,UPGS.L,UPGS.L,Consumer Cyclical,GBp,127.75,0.07,0.056799997,2017-07-06,2022-01-06,3.33,186.67
HSBC HLDGS PLC ORD $0.50 (UK REG),HSBA.L,HSBA.L,Financial Services,GBp,587.8,0.42,0.0718,1989-04-14,2021-08-19,17.792299999999997,398.45
EXPERIAN PLC ORD USD0.10,EXPN.L,EXPN.L,Industrials,GBp,2712.0,0.59,0.0219,2007-01-03,2022-01-06,11.6929,3560.307
TT ELECTRONICS PLC ORD 25P,TTG.L,TTG.L,Technology,GBp,173.6,0.06,0.037100002,1989-05-22,2021-09-23,6.5,281.2
SAFESTORE HOLDINGS PLC ORD 1P,SAFE.L,SAFE.L,Real Estate,GBp,838.0,0.3,0.036199998,2007-07-18,2022-03-03,17.6,1238.4
ASSURA PLC ORD 10P,AGR.L,AGR.L,Real Estate,GBp,44.6,0.03,0.0734,2004-09-22,2021-12-09,2.9299999999999997,69.26
DCC PLC ORD EUR0.25 (CDI),DCC.L,DCC.L,Energy,GBp,4195.0,1.87,0.0446,2000-05-22,2021-11-18,163.7,5918.15
SMITHS NEWS PLC ORD 5P,SNWS.L,SNWS.L,Communication Services,GBp,43.0,0.04,0.096499994,1993-02-15,2022-01-13,1.15,37.7
LAND SECURITIES GROUP PLC ORD 10 2/3P,LAND.L,LAND.L,Real Estate,GBp,586.2,0.39,0.0665,1992-11-30,2021-11-25,30.5,739.3
SEVERN TRENT PLC ORD 97 17/19P,SVT.L,SVT.L,Utilities,GBp,2368.0,1.07,0.045100003,1992-12-14,2021-12-02,101.81,2831.14
CITY OF LONDON INVESTMENT GROUP PLC ORD 1P,CLIG.L,CLIG.L,Financial Services,GBp,388.0,0.33,0.0851,2007-02-07,2022-02-24,13.5,514.5
NEWRIVER REIT PLC ORD 1P,NRR.L,NRR.L,Real Estate,GBp,80.5,0.07,0.083000004,2010-12-15,2021-12-09,7.1,86.0
INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,ICP.L,ICP.L,Financial Services,GBp,1292.5,0.78,0.06,1994-10-03,2021-12-09,57.7,2228.3
AJ BELL PLC ORD GBP0.000125,AJB.L,AJB.L,Financial Services,GBp,280.2,0.08,0.028800001,2019-06-06,2022-01-06,5.0,380.6
VOLUTION GROUP PLC ORD GBP0.01,FAN.L,FAN.L,Industrials,GBp,361.6,0.07,0.0207,2015-04-02,2021-11-18,6.300000000000001,510.6
SEVERFIELD PLC ORD 2.5P,SFR.L,SFR.L,Industrials,GBp,68.6,0.03,0.0496,1993-09-20,2021-12-09,3.0,71.2
SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,SPX.L,SPX.L,Industrials,GBp,9714.0,1.56,0.016,1993-04-19,2021-10-14,161.5,14761.5
STANDARD CHARTERED PLC ORD USD0.50,STAN.L,STAN.L,Financial Services,GBp,711.4,0.16,0.0222,1993-03-15,2022-02-24,9.0,566.0
PICTON PROPERTY INCOME LD ORD NPV,PCTN.L,PCTN.L,Real Estate,GBp,67.6,0.04,0.051599998,2015-08-13,2022-02-03,0.875,101.125
FUTURE PLC ORD 15P,FUTR.L,FUTR.L,Communication Services,GBp,746.0,0.03,0.0046,2004-04-21,2022-01-13,2.8,3481.2
BALFOUR BEATTY PLC ORD 50P,BBY.L,BBY.L,Industrials,GBp,320.0,0.1,0.0328,1993-04-19,2021-11-04,4.5,247.0
TBC BANK GROUP PLC ORD GBP0.01,TBCG.L,TBCG.L,Financial Services,GBp,2800.0,1.7,0.060300004,2017-06-08,2021-08-19,150.0,1280.0
REDROW PLC ORD 10.5P,RDW.L,RDW.L,Consumer Cyclical,GBp,456.0,0.32,0.070199996,1994-10-03,2022-02-24,10.0,573.8
TRIFAST PLC ORD 5P,TRI.L,TRI.L,Industrials,GBp,83.7,0.02,0.026800001,1994-07-25,2021-09-16,1.6,135.4
BARCLAYS PLC ORD 25P,BARC.L,BARC.L,Financial Services,GBp,143.98,0.08,0.0535,1990-05-25,2022-03-03,4.0,172.96
RHI MAGNESITA N.V. ORD EUR1.00 (DI),RHIM.L,RHIM.L,Industrials,GBp,2752.0,1.41,0.0513,2018-06-14,2021-08-26,150.0,3820.0
ANGLO AMERICAN PLC ORD USD0.54945,AAL.L,AAL.L,Basic Materials,GBp,2031.0,1.02,0.0504,1999-09-20,2021-08-19,131.551,3155.5
PALACE CAPITAL PLC ORD 10P,PCA.L,PCA.L,Real Estate,GBp,249.0,0.15,0.0602,2006-01-06,2021-12-09,11.75,272.75
